id,product_group,sub_classification,vendor,molecule_test_type,brand,dosage,dosage_form,unit_of_measure_per_pack
11815,HRDT,HIV test,SCMS from RDC,"HIV 2, New LAV Blot 2 HIV Kit",LAV,N/A,Test kit,18
11817,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Determine HIV Kit, without Lancets",Determine,N/A,Test kit,100
11818,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
11821,HRDT,HIV test - Ancillary,SCMS from RDC,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,N/A,Test kit - Ancillary,100
11824,ARV,Pediatric,SCMS from RDC,Nevirapine,Generic,10mg/ml,Oral suspension,240
11825,ARV,Pediatric,SCMS from RDC,Efavirenz,Generic,200mg,Capsule,90
11826,ARV,Pediatric,SCMS from RDC,Efavirenz,Generic,200mg,Capsule,90
11827,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60
11830,ARV,Pediatric,SCMS from RDC,Zidovudine,Generic,10mg/ml,Oral solution,240
11832,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60
11833,ARV,Adult,SCMS from RDC,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120
11834,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
11837,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
11839,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60
11840,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Determine HIV Kit, without Lancets",Determine,N/A,Test kit,100
11841,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
11842,ARV,Pediatric,SCMS from RDC,Nevirapine,Generic,10mg/ml,Oral suspension,240
11843,ARV,Pediatric,SCMS from RDC,Nevirapine,Generic,10mg/ml,Oral suspension,240
11845,ARV,Adult,SCMS from RDC,Lamivudine,Generic,150mg,Tablet,60
11846,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
11847,ARV,Adult,SCMS from RDC,Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30
11850,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60
11851,ARV,Adult,SCMS from RDC,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120
11852,ARV,Pediatric,SCMS from RDC,Nevirapine,Generic,10mg/ml,Oral suspension,240
11854,ARV,Pediatric,SCMS from RDC,Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300
11855,ARV,Adult,SCMS from RDC,Lamivudine/Stavudine,Generic,150/30mg,Tablet - FDC,30
11856,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60
11857,ARV,Pediatric,SCMS from RDC,Zidovudine,Generic,10mg/ml,Oral solution,240
11858,ARV,Adult,SCMS from RDC,Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30
11859,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60
11860,ARV,Adult,SCMS from RDC,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120
11861,ARV,Adult,SCMS from RDC,Zidovudine,Generic,300mg,Tablet,60
11862,ARV,Adult,SCMS from RDC,Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30
11863,ARV,Adult,SCMS from RDC,Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30
11864,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60
11865,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60
11866,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60
11867,ARV,Pediatric,SCMS from RDC,Lamivudine,Generic,10mg/ml,Oral solution,240
11868,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60
11869,ARV,Adult,SCMS from RDC,Ritonavir,Norvir,100mg,Capsule,84
11870,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Determine HIV Kit, without Lancets",Determine,N/A,Test kit,100
11873,ARV,Pediatric,SCMS from RDC,Nevirapine,Generic,10mg/ml,Oral suspension,240
11874,HRDT,HIV test,SCMS from RDC,"HIV, Genie II HIV-1/HIV-2 Kit",Genie,N/A,Test kit,40
11875,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60
11876,ARV,Adult,SCMS from RDC,Stavudine,Generic,15mg,Capsule,60
11877,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
11878,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
11879,ARV,Adult,SCMS from RDC,Zidovudine,Generic,300mg,Tablet,60
11880,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
11881,ARV,Pediatric,SCMS from RDC,Stavudine,Generic,1mg/ml,Oral solution,200
11882,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
11883,ARV,Pediatric,SCMS from RDC,Didanosine,Generic,100mg,Chewable/dispersible tablet,60
11884,ARV,Pediatric,SCMS from RDC,Efavirenz,Stocrin/Sustiva,30mg/ml,Oral solution,180
11887,ARV,Adult,SCMS from RDC,Zidovudine,Generic,300mg,Tablet,60
11888,ARV,Adult,SCMS from RDC,Lamivudine,Generic,150mg,Tablet,60
11890,ARV,Adult,SCMS from RDC,Saquinavir,Invirase,200mg,Capsule,270
11995,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
11891,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60
11892,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
11893,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60
11894,ARV,Adult,SCMS from RDC,Zidovudine,Generic,300mg,Tablet,60
11895,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
11897,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Determine HIV Kit, without Lancets",Determine,N/A,Test kit,100
11899,ARV,Pediatric,SCMS from RDC,Lamivudine,Generic,10mg/ml,Oral solution,240
11900,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,N/A,Test kit,25
11902,ARV,Pediatric,SCMS from RDC,Lamivudine,Generic,10mg/ml,Oral solution,240
11903,ARV,Pediatric,SCMS from RDC,Zidovudine,Generic,10mg/ml,Oral solution,240
11904,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
11905,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60
11906,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
11907,ARV,Pediatric,SCMS from RDC,Efavirenz,Stocrin/Sustiva,30mg/ml,Oral solution,180
11908,ARV,Pediatric,SCMS from RDC,Zidovudine,Generic,10mg/ml,Oral solution,240
11909,ARV,Adult,SCMS from RDC,Stavudine,Generic,30mg,Capsule,60
11910,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
11913,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60
11914,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20
11916,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Determine HIV Kit, without Lancets",Determine,N/A,Test kit,100
11917,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
11918,ARV,Pediatric,SCMS from RDC,Zidovudine,Generic,10mg/ml,Oral solution,240
11919,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60
11920,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60
11921,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
11923,ARV,Adult,SCMS from RDC,Abacavir,Generic,300mg,Tablet,60
11924,ARV,Adult,SCMS from RDC,Lamivudine,Generic,150mg,Tablet,60
11925,ARV,Pediatric,SCMS from RDC,Didanosine,Generic,100mg,Chewable/dispersible tablet,60
11926,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
11927,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20
11928,ARV,Pediatric,SCMS from RDC,Stavudine,Generic,1mg/ml,Oral solution,200
11932,ARV,Adult,SCMS from RDC,Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30
11933,ARV,Adult,SCMS from RDC,Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30
11934,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
11935,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60
11936,ARV,Adult,SCMS from RDC,Stavudine,Generic,30mg,Capsule,60
11937,ARV,Pediatric,SCMS from RDC,Abacavir,Generic,20mg/ml,Oral solution,240
11938,ARV,Adult,SCMS from RDC,Abacavir,Generic,300mg,Tablet,60
11939,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
11940,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60
11942,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
11943,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
11944,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60
11945,ARV,Adult,SCMS from RDC,Stavudine,Generic,30mg,Capsule,60
11946,ARV,Adult,SCMS from RDC,Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30
11947,ARV,Pediatric,SCMS from RDC,Efavirenz,Generic,200mg,Capsule,90
11948,ARV,Adult,SCMS from RDC,Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30
11949,ARV,Pediatric,SCMS from RDC,Lamivudine,Generic,10mg/ml,Oral solution,240
11950,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60
11951,ARV,Pediatric,SCMS from RDC,Stavudine,Generic,1mg/ml,Oral solution,200
11953,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
11954,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
11955,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60
11956,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60
11957,ARV,Adult,SCMS from RDC,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120
11958,ARV,Adult,SCMS from RDC,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120
11959,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
11960,ARV,Pediatric,SCMS from RDC,Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300
11961,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60
11962,ARV,Pediatric,SCMS from RDC,Abacavir,Generic,20mg/ml,Oral solution,240
11963,ARV,Pediatric,SCMS from RDC,Abacavir,Generic,20mg/ml,Oral solution,240
11964,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60
11966,ARV,Pediatric,SCMS from RDC,Efavirenz,Generic,200mg,Capsule,90
11967,ARV,Adult,SCMS from RDC,Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30
11968,ARV,Pediatric,SCMS from RDC,Lamivudine,Generic,10mg/ml,Oral solution,240
11969,ARV,Adult,SCMS from RDC,Stavudine,Generic,30mg,Capsule,60
11970,ARV,Pediatric,SCMS from RDC,Efavirenz,Generic,200mg,Capsule,90
11971,ARV,Pediatric,SCMS from RDC,Efavirenz,Generic,200mg,Capsule,90
11972,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60
11973,ARV,Adult,SCMS from RDC,Indinavir,Crixivan,400mg,Capsule,180
11974,ARV,Pediatric,SCMS from RDC,Efavirenz,Generic,200mg,Capsule,90
11975,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
11980,ARV,Adult,SCMS from RDC,Stavudine,Generic,30mg,Capsule,60
11981,ARV,Pediatric,SCMS from RDC,Efavirenz,Generic,200mg,Capsule,90
11983,ARV,Adult,SCMS from RDC,Zidovudine,Generic,300mg,Tablet,60
11988,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60
11989,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
11990,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
11991,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
11992,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60
11993,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60
11996,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60
11997,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60
11998,ARV,Adult,SCMS from RDC,Stavudine,Generic,30mg,Capsule,60
11999,ARV,Adult,SCMS from RDC,Stavudine,Generic,15mg,Capsule,60
12000,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60
12001,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
12003,ARV,Pediatric,SCMS from RDC,Efavirenz,Generic,200mg,Capsule,90
12004,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60
12005,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60
12006,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60
12008,ARV,Adult,SCMS from RDC,Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30
12009,ARV,Pediatric,SCMS from RDC,Nevirapine,Generic,10mg/ml,Oral suspension,240
12010,ARV,Adult,SCMS from RDC,Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30
12011,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60
12012,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
12014,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60
12015,ARV,Adult,SCMS from RDC,Lamivudine,Generic,150mg,Tablet,60
12016,ARV,Pediatric,SCMS from RDC,Zidovudine,Generic,10mg/ml,Oral solution,240
12017,ARV,Adult,SCMS from RDC,Stavudine,Generic,30mg,Capsule,60
12018,ARV,Adult,SCMS from RDC,Zidovudine,Generic,300mg,Tablet,60
12020,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60
12021,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60
12025,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
12026,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
12030,ARV,Adult,SCMS from RDC,Abacavir,Generic,300mg,Tablet,60
12031,ARV,Pediatric,SCMS from RDC,Zidovudine,Generic,10mg/ml,Oral solution,240
12033,ARV,Adult,SCMS from RDC,Abacavir,Generic,300mg,Tablet,60
12034,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
12037,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
12041,ARV,Adult,SCMS from RDC,Lamivudine,Generic,150mg,Tablet,60
12043,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60
12044,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
12045,ARV,Adult,SCMS from RDC,Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30
12046,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
12047,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
12050,ARV,Adult,SCMS from RDC,Lamivudine,Generic,150mg,Tablet,60
12056,ARV,Pediatric,SCMS from RDC,Nevirapine,Generic,10mg/ml,Oral suspension,240
12058,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20
12059,ARV,Adult,SCMS from RDC,Abacavir/Lamivudine/Zidovudine,Trizivir,300/150/300mg,Tablet - FDC,60
12060,ARV,Adult,SCMS from RDC,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120
12061,ARV,Adult,SCMS from RDC,Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30
12062,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60
12063,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
12064,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60
12067,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,150/200/40mg,Tablet - FDC,60
12068,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
12071,ARV,Pediatric,SCMS from RDC,Abacavir,Generic,20mg/ml,Oral solution,240
12072,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine+Nevirapine,Generic,150/300+200mg,Tablet - FDC + co-blister,120
12073,ARV,Pediatric,SCMS from RDC,Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300
12074,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
12075,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60
12077,ARV,Adult,SCMS from RDC,Stavudine,Generic,15mg,Capsule,60
12078,ARV,Adult,SCMS from RDC,Indinavir,Crixivan,400mg,Capsule,180
12079,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20
12080,ARV,Pediatric,SCMS from RDC,Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300
12083,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Capillus HIV Kit",Capillus,N/A,Test kit,100
12086,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
12088,ARV,Adult,SCMS from RDC,Abacavir/Lamivudine/Zidovudine,Trizivir,300/150/300mg,Tablet - FDC,60
12089,ARV,Adult,SCMS from RDC,Abacavir,Generic,300mg,Tablet,60
12090,ARV,Adult,SCMS from RDC,Indinavir,Crixivan,400mg,Capsule,180
12091,ARV,Adult,SCMS from RDC,Saquinavir,Invirase,200mg,Capsule,270
12092,ARV,Adult,SCMS from RDC,Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30
12093,ARV,Adult,SCMS from RDC,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120
12094,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
12100,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20
12107,ARV,Pediatric,SCMS from RDC,Abacavir,Generic,20mg/ml,Oral solution,240
12109,ARV,Pediatric,SCMS from RDC,Lamivudine,Generic,10mg/ml,Oral solution,240
12110,ARV,Adult,SCMS from RDC,Lamivudine,Generic,150mg,Tablet,60
12112,HRDT,HIV test,SCMS from RDC,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit",First Response,N/A,Test kit,30
12113,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60
12120,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20
12122,ARV,Adult,SCMS from RDC,Ritonavir,Norvir,100mg,Capsule,336
12123,ARV,Adult,SCMS from RDC,Lamivudine/Stavudine,Generic,150/30mg,Tablet - FDC,30
12125,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
12126,ARV,Adult,SCMS from RDC,Stavudine,Generic,30mg,Capsule,60
12127,ARV,Adult,SCMS from RDC,Abacavir,Generic,300mg,Tablet,60
12128,HRDT,HIV test - Ancillary,SCMS from RDC,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,N/A,Test kit - Ancillary,100
12129,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
12130,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,150/200/40mg,Tablet - FDC,60
12131,ARV,Pediatric,SCMS from RDC,Lamivudine,Generic,10mg/ml,Oral solution,240
12133,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Clearview Complete Kit",Clearview,N/A,Test kit,25
12135,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60
12136,ARV,Adult,SCMS from RDC,Lamivudine,Generic,150mg,Tablet,60
12138,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
12139,ARV,Adult,SCMS from RDC,Indinavir,Crixivan,400mg,Capsule,180
12143,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60
12144,ARV,Adult,SCMS from RDC,Indinavir,Crixivan,400mg,Capsule,180
12145,ARV,Adult,SCMS from RDC,Ritonavir,Norvir,100mg,Capsule,84
12146,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
12147,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
12148,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
12149,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
12150,ARV,Adult,SCMS from RDC,Abacavir,Generic,300mg,Tablet,60
12151,ARV,Pediatric,SCMS from RDC,Stavudine,Generic,1mg/ml,Oral solution,200
12154,ARV,Pediatric,SCMS from RDC,Nevirapine,Generic,10mg/ml,Oral suspension,240
12155,ARV,Adult,SCMS from RDC,Lamivudine,Generic,150mg,Tablet,60
12159,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
12163,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,N/A,Test kit,25
12164,ARV,Adult,SCMS from RDC,Lamivudine,Generic,150mg,Tablet,60
12165,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60
12166,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60
12167,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,N/A,Test kit,20
12168,ARV,Adult,SCMS from RDC,Stavudine,Generic,30mg,Capsule,60
12169,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
12170,ARV,Pediatric,SCMS from RDC,Abacavir,Generic,20mg/ml,Oral solution,240
12171,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
12172,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
12174,ARV,Adult,SCMS from RDC,Lamivudine,Generic,150mg,Tablet,60
12175,ARV,Adult,SCMS from RDC,Stavudine,Generic,30mg,Capsule,60
12176,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60
12177,ARV,Pediatric,SCMS from RDC,Lamivudine,Generic,10mg/ml,Oral solution,240
12178,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
12179,ARV,Adult,SCMS from RDC,Stavudine,Generic,30mg,Capsule,60
12180,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60
12181,ARV,Adult,SCMS from RDC,Abacavir,Generic,300mg,Tablet,60
12182,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60
12183,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60
12184,ARV,Pediatric,SCMS from RDC,Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300
12185,ARV,Pediatric,SCMS from RDC,Efavirenz,Generic,200mg,Capsule,90
12186,ARV,Adult,SCMS from RDC,Stavudine,Generic,30mg,Capsule,60
12187,ARV,Pediatric,SCMS from RDC,Didanosine,Generic,200mg,Chewable/dispersible tablet,60
12188,ARV,Adult,SCMS from RDC,Abacavir,Generic,300mg,Tablet,60
12189,ARV,Pediatric,SCMS from RDC,Zidovudine,Generic,10mg/ml,Oral solution,240
12191,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Clearview Complete Kit",Clearview,N/A,Test kit,25
12192,ARV,Pediatric,SCMS from RDC,Stavudine,Generic,1mg/ml,Oral solution,200
12195,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
12196,ARV,Adult,SCMS from RDC,Zidovudine,Generic,300mg,Tablet,60
12197,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30
12198,ARV,Adult,SCMS from RDC,Ritonavir,Norvir,100mg,Capsule,84
12199,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Determine HIV Kit, without Lancets",Determine,N/A,Test kit,100
12200,HRDT,HIV test - Ancillary,SCMS from RDC,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,N/A,Test kit - Ancillary,100
12201,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20
12202,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Determine HIV Kit, without Lancets",Determine,N/A,Test kit,100
